,pH,Temp,Taste,Odor,Fat ,Turbidity,Colour,Grade,Grade_sparse
0,6.6,35,1,0,1,0,254,high,2
1,6.6,36,0,1,0,1,253,high,2
2,8.5,70,1,1,1,1,246,low,0
3,9.5,34,1,1,0,1,255,low,0
4,6.6,37,0,0,0,0,255,medium,1
5,6.6,37,1,1,1,1,255,high,2
6,5.5,45,1,0,1,1,250,low,0
7,4.5,60,0,1,1,1,250,low,0
8,8.1,66,1,0,1,1,255,low,0
9,6.7,45,1,1,0,0,247,medium,1
10,6.7,45,1,1,1,0,245,medium,1
11,5.6,50,0,1,1,1,255,low,0
12,8.6,55,0,1,1,1,255,low,0
13,7.4,90,1,0,1,1,255,low,0
14,6.8,45,0,1,1,1,255,high,2
15,6.5,38,1,0,0,0,255,medium,1
16,4.7,38,1,0,1,0,255,low,0
17,3.0,40,1,1,1,1,255,low,0
18,9.0,43,1,0,1,1,250,low,0
19,6.8,40,1,0,1,0,245,medium,1
20,6.6,45,0,1,1,1,250,high,2
21,6.5,36,0,0,1,0,255,medium,1
22,4.5,38,0,1,1,1,255,low,0
23,6.6,45,1,1,1,1,245,high,2
24,6.8,35,1,0,1,0,246,medium,1
25,6.5,36,0,1,1,0,253,high,2
26,8.5,70,0,0,0,0,246,low,0
27,6.6,34,0,0,0,1,240,medium,1
28,6.5,37,0,0,0,0,245,medium,1
29,6.6,37,1,0,1,0,255,high,2
30,6.4,45,0,1,0,0,240,medium,1
31,6.5,40,0,1,0,1,250,low,0
32,6.8,42,1,1,1,1,255,high,2
33,6.7,41,1,0,0,0,247,medium,1
34,6.7,50,1,1,1,0,245,low,0
35,8.6,55,0,1,0,0,255,low,0
36,7.4,65,0,0,0,0,255,low,0
37,6.8,41,0,0,0,0,255,medium,1
38,6.5,38,1,1,1,1,255,high,2
39,6.8,38,0,0,0,0,255,medium,1
40,3.0,40,1,0,0,0,255,low,0
41,9.0,43,1,1,1,1,248,low,0
42,6.8,40,1,1,1,1,255,high,2
43,6.6,45,0,0,0,1,250,medium,1
44,6.5,36,0,0,0,0,247,medium,1
45,6.6,38,0,0,0,0,255,medium,1
46,6.8,45,1,1,1,0,245,high,2
47,6.5,37,0,0,0,0,255,medium,1
48,6.8,45,0,0,1,0,255,medium,1
49,6.5,38,1,0,1,0,255,medium,1
50,6.7,38,1,0,1,0,255,high,2
51,6.8,45,0,0,0,1,255,medium,1
52,6.8,45,1,1,1,1,245,high,2
53,6.5,35,1,0,1,0,246,medium,1
54,6.8,36,0,1,1,0,253,high,2
55,6.8,34,0,0,0,1,240,medium,1
56,6.8,45,0,1,0,0,240,medium,1
57,6.8,41,0,0,1,0,255,medium,1
58,6.6,50,0,0,0,1,250,low,0
59,6.6,50,0,0,0,0,255,low,0
60,6.6,35,0,1,1,1,255,high,2
61,6.8,50,0,0,1,0,255,low,0
62,6.6,43,1,0,1,1,250,high,2
63,6.6,38,1,0,1,0,255,high,2
64,6.6,38,0,0,1,0,255,medium,1
65,6.5,55,1,0,1,0,246,low,0
66,6.6,45,0,1,0,0,255,medium,1
67,6.5,40,1,0,0,0,250,medium,1
68,6.8,43,1,0,1,0,250,high,2
69,6.8,55,0,0,0,1,255,low,0
70,6.5,50,1,0,1,0,246,low,0
71,6.6,40,1,0,1,1,255,high,2
72,6.6,40,0,0,0,0,255,medium,1
73,6.5,37,0,1,1,1,245,low,0
74,6.6,40,1,0,0,0,255,medium,1
75,6.6,40,1,1,1,1,255,high,2
76,6.6,43,0,0,1,0,250,medium,1
77,6.5,40,0,0,1,0,250,medium,1
78,6.6,38,0,1,1,1,255,high,2
79,6.6,45,1,0,0,1,255,medium,1
80,6.8,41,1,1,1,0,255,high,2
81,6.5,45,1,0,0,0,246,medium,1
82,6.6,43,0,0,0,1,250,medium,1
